"Model","Correlation","Standard Deviation","Gains","Total Time","Training Time (1,000 Rows)","Scoring Time (1,000 Rows)"
"Generalized Linear Model",0.8872785707715254,0.028314982182859903,,2593.0,162.0795107033639,22.95918367346939
"Deep Learning",0.8732830041593946,0.033946222851526736,,3343.0,1043.8328236493376,45.91836734693878
"Decision Tree",0.8357427247223399,0.0513892585163097,,1777.0,27.522935779816514,56.12244897959184
"Random Forest",0.8683106023425241,0.03391787909662816,,13974.0,167.17635066258921,119.89795918367346
"Gradient Boosted Trees",0.9018777912167447,0.016556048448654815,,24009.0,196.7380224260958,33.163265306122454
"Support Vector Machine",0.8886652506108985,0.028870799416358013,,13996.0,472.98674821610604,206.6326530612245
